app_name,app_id
ExpenseTracker1,com.benoitletondor.easybudgetapp
ExpenseTracker2,luankevinferreira.expenses
ExpenseTracker3,com.kvannli.simonkvannli.dailybudget
ExpenseTracker4,com.blogspot.e_kanivets.moneytracker
NoteTaking1,com.iliakplv.notes
NoteTaking2,"com.moonpi.swiftnotes, me.writeily"
NoteTaking3,chan.android.app.pocketnote
NoteTaking4,pl.com.andrzejgrzyb.shoppinglist
ShoppingList1,br.com.activity
ShoppingList2,privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist
ShoppingList3,org.openintents.shopping
ShoppingList4,cz.martykan.forecastie
a11,com.stoutner.privacybrowser.standard
a13,de.baumann.browser
a14,org.mozilla.focus
a15,com.rubenroy.minimaltodo
a21,douzifly.list
a22,org.secuso.privacyfriendlytodolist
a23,kdk.android.simplydo
a24,com.woefe.shoppinglist
a25,com.contextlogic.geek
a31,com.contextlogic.wish
a32,com.rainbowshops
a33,com.etsy.android
a34,com.yelp.android
a35,com.fsck.k9
a41,com.appple.app.email
a42,"ru.mail.mailapp,com.my.mail"
a43,park.outlook.sign.in.client
a44,"anti.tip, com.appsbyvir.tipcalculator"
a45,com.tleapps.simpletipcalculator
a51,com.zaidisoft.teninone
a52,com.jpstudiosonline.tipcalculator
